Name,Ratings,Header,Date,Product_Details,Review,Helpful
Jayshri,4,Good product as per price,12 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Overall good product. Sound quality issatisfactory but  could have been better.  Smart features excellent. Very less boot time.,
RAKESH RAWAT,4,Surprised to see the quality of the product,13 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Surprised to see the quality, picture quality could have been a little better.. overall it is a good product.",
Pawan kumar,4,Normal,14 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good product ...well done redmi..bs today sound or better ho Jaye to achha h,
Naveen,4,Excellent TV at the price,14 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,The product is very good. Only thing I was felt could be better was sound. So given 4 stars else all features are good.,
manish neware,4,Goid experience,12 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Tv quility is very good picture quality and sound also very nice,
Abrar mirza,4,Mi installation service is very bad.,5 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Product is awesome and delivery is good.but I have bad experience with mi installation person. He is very rude behaviour person.not helpfull person. He is very lazy and bad behaviour person. i never suggest for mi installation to anyone.,3 people found this helpful
Birbal Korram,4,Value For Money,13 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,At the price range product is Good & Value For Money 💲💰,
Shyam,4,The material is fine and it works well,12 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,All works smoothly and like big size smart phone,
Binita ,4,"Good product but no installation service in Duliajan, Assam",11 October 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"Looking forward for installation service in Duliajan, Assam",
Sumati S,4,Superb and good quality.,13 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Full happy, good quality, worth for money..Voice quality also good.",
Aditya Patil,4,Affordable one,10 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"It's a good TV with affordable price range, sound and pictures n quality is OK not as great as shown.",One person found this helpful
Ganga Chand,4,Very nice TV with a reasonable amount,14 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Great deal with a reasonable price,
Amit P Chawda ,4,One of the best budget tv,10 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,One of the best budget tv,2 people found this helpful
hardik thakur,4,Pessa wasooll h,5 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Pic quality is good,
Arvind,4,No 5.1 audio for Amazon prime,5 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Iam writing after one year using,Tv is good for the price, but there is 5.1 signal for Amazon prime video. For Netflix and some app there is 5.1 signal.",One person found this helpful
T S ANBAZHAGAN,4,Audio and video. Is good.,6 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,It has been one week I have using it. Satisfactory.,
Shah,4,Good product,6 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good LED at aorund 9k price,
Prakash ahir,4,A good tv to buy in a good budget friendly price,7 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,A good tv to buy in a good budget friendly price,
P kasi ratnam,4,Super 😘,10 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very nice 👍🙂,
Rajanish kumar,4,Value for money,9 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Value for money,
Kunal deore,4,Best,13 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Value for money,
Shaik Abdul rahiman,4,Nice product 👍😁😊,7 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Nice product 👍 😁😊,
SRINIVASARAO D,4,Picture quality and  sound quality both good.,8 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good . Nice picture quality.,
Placeholder,4,"Nat satisfied no coustmer care services mentioned in online R offline,to much disappointed",4 October 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"Optical feature not working at first day only, no coustmer support",One person found this helpful
Prakash,4,Good,9 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Good product,One person found this helpful
Milan Meghani,4,Good product 👍,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
R. Sivagnanamoorthy,4,நன்றாக உள்ளது பரவாயில்லை,6 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,நன்றாக உள்ளது பரவாயில்லை,
UPENDRA,4,Good 👍,9 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Need to be more picture quality,
Amandeep singh,4,Value of money,5 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Good product this price range,
Gowtham .A,4,Good,10 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Nice product and some more time to experience this ....,
Shubham Prakash,4,Good,9 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Picture quality,
Utsav,4,This is really good 👍👍👍,9 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Shravan surya,4,Must buy 3yrs warranty,1 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"After one month tv was not working, raised complaint, technician has visited but that person has saying we need to wait 10days due to pannel problem, Very disappointed starting time faced trouble we don't know in future what will happen with this tv",9 people found this helpful
V.Ramesh,4,Happy,13 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Happy 😊,
Amazon Customer,4,Awesome product,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
sanjay kumar prasad,4,Mi 43 inch 4k tv is good at 22k,9 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Picture quality is good and sound is also good but tv cabinet material is of low quality.,
Mani,4,Redmi smart TV,8 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very nice RedmiAndroid TV .Worth for moneyInstallation done with in a day .,
Maulik Joshi,4,Good service in installation and delivery,3 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Grate for under 10k same day installation has done by the experts and pictures quality is also very good,
Amit suthr,4,Their is no wall mounted stand,8 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Wall mounted stand missing..,One person found this helpful
Placeholder,4,"this cheap stand wall , its totally loot",30 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Good tv but installation person take 400 for a cheap stand  , I think this stand not more than 50 rupees , they dnt give me any bill of this cheap stand , its totally lootRedmi goodI love redmi  thanks",9 people found this helpful
varun m.,4,It's ok,5 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Ok,
veera,4,Very good,10 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Good,
dhavalsinh parmar,4,Nice,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Good,
Amazon Customer,4,Satisfaction.,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Very. Good,
Dharani,4,Worth for money don't expect more over then product cost.,9 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good,
Shankaraiah tuniki,4,Super,12 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Like,
Narendra Singh,4,Nice,12 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Nice product 👍,
Harshal Patil,4,Nice,14 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Good,
SUNEER BABU,4,Good product,9 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Value for money,
JASWANT SINGH,4,Bahut hi gajab ka tv h.,30 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Mi 32 inch android led TV power consumption nominal, sound quality super, picture quality best.",
Tarun Sharma,4,Perfect !,10 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Perfect!,
Arshad,4,Attractive look and feature in low cost.,13 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Amazing,
ravi chandravanshi,4,Good product,13 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Okay,
Abhijeet,4,Sound s not high in AV mode,8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Sound in AV Mode while watching serial is normal... 30w..is same like 20w no difference,
Raghav,4,Best in range smart tv,5 October 2022,Pattern name: 4K Android SeriesSize name: 55 inches,TV is really good and value for money in that price range.,
ASHISH RANJAN,4,Not good as aspected,12 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Cast screen is very slow. There are gap of 5 - 10 seconds.,One person found this helpful
Manoj Kumar Takri,4,Very good,9 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
BHUPENDRA PRASAD TIWARI,4,TV sound is dead within 2.5 months,4 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Purchase on 17.07.2022 & Tv Sound is dead. Where I should compliant.,
Dhruv pandit,4,Gud प्रोडक्ट,4 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Gud प्रोडक्ट,
Suresh.G,4,Really good 👍,6 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Pictures quality 👌 awesome  voice recognition  is super,
Van,4,Pathetic Installation Services,1 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"If you bought this tv don't expect installation service..I waited one week after the Tv delivered, I was forced to reschedule 4 times.If you wan wall mount buy separately and do it yourself or get local tech to install for you..dosent worth to wait for home service.",5 people found this helpful
Ray L.,4,Paisa Vasool,1 August 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"I got this for around 19800 (SBI Credit Card discount 3000 + amazon pay balance + discounted price of around 28900 rupees during the prime sale). So all in all, I'm very satisfied simply because of the price I paid. If this is going to be your first smart TV and have not used premium products like Samsung, LG, Sony etc. before, you will be very satisfied. But for those who have used these products before, there is no comparison between redmi/mi TVs and any other budget offering and the big brands. The color is all wrong and build quality is pathetic. But remember, this is a budget TV. If you don't have the budget for Sony etc., Redmi is good enough. If you can afford it, spend a little more and get Nokia 4K Or even better, LG/Samsung.Connectivity : you need to use a soundbar/home theater for this TV as the TV speakers are useless.. So connect the HDMI cable to the HDMI ARC OUT of your soundbar and connect the other end to the eARC IN on the TV.  Then use another HDMI cable to connect the HDMI port from your STB/Tata Sky etc. to either HDMI 1 or 3 on the TV. This is for those whose soundbars are ARC enabled. Remember, even if your home theater is Dolby Atmos, (for which eARC is compulsory) you will not get true Atmos unless you have ceiling/overhead speakers. But the sound is quite good. I'm using the Motorola  4.1 AmphisoundX Dolby Atmos 250W Soundbar with the wireless sub-woofer and eARC on the TV and ARC OUT on the soundbar means I use just one remote for both TV and soundbar.All in all, paisa vasool as a secondary TV. What other TV will offer you these features at this price?",92 people found this helpful
Suryaprakash Sharma,4,Review form,4 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Its average because it hang so much,
Vijaymal p.,4,Good,30 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good product at this price range.....the only things that u need to compromise is that of pictures quality...it is not as good as expected,3 people found this helpful
Prabhu,4,Good one❣️,6 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Its really nice.. 🥰tnxs AMAZON ❤️,One person found this helpful
Prateek Garg,4,I am satisfied this product into this rate..,7 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,I am satisfied this product into this rate..,
nagaraj,4,Worth for buying...,1 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,T v Installation  best and super....,
Amazon Customer,4,हमारे टीवी को इंस्टाल करने के लिये भेज दीजिये,30 September 2022,Pattern name: 2K Android SeriesSize name: 43 inches,हमारे टीवी को इंस्टाल करने के लिये भेज दीजिये,
Sanjeev kumar,4,Good,3 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,One person found this helpful
Kalpesh Gohel,4,Good Product..👍👍👍,2 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Nice 1..,
sathish,4,Good one,29 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Tv is good one , installation was done same day but wall mount is not free.They charged 600rs.",3 people found this helpful
SVS CONTROLS,4,Good product,29 September 2022,Pattern name: 4K Android SeriesSize name: 65 inches,,2 people found this helpful
Satyam,4,Nice working,27 September 2022,Pattern name: 2K Android SeriesSize name: 43 inches,Nice product,
Koushik khamrai,4,Picture Quality,27 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"In this price segment, this TV is Super.Picture Quality -3.5/5",3 people found this helpful
sanjeeta Prasad,4,Paise ke hisaab se quality achcha hai,26 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Mujhe ek Kam rate me led smart TV ki jarurat thi,2 people found this helpful
Milon ghosh,4,Good tv,5 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,,2 people found this helpful
Amazon Customer,4,Nice,2 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Clear picture like it first thanks to Amazon,
Dishant Ved,4,Product and pricing are fantastic but no one comes for installation,1 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Product and pricing are fantastic but no one comes for installationPlease update as soon as possible,4 people found this helpful
SOMASHEKAR,4,👍👍,3 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,👍NICE TV❤️❤️,One person found this helpful
R.Karthikeyan,4,Awesome TV,2 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,All good,
Ravi parmar,4,Good Product,26 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,2 people found this helpful
Praveenkumar,4,Nice one,2 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,One person found this helpful
Pradeep saini,4,Have a great job by delevery boy get my product safely,28 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,3 people found this helpful
Ashish,4,Good in budget,29 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Product is good but some invisible defects are there.,
Sanchit,4,Good tv must buy,29 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Purchase it in 9999 only,
Shiva prasad Ganga,4,Good ....,2 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
harsha chamarthi,4,Basic smart TV which does the job,7 July 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"I have been looking for a budget smart TV from long time. I just wanted to try redmi 32 smart TV as it has become very popular and has service centres in my vicinity. I bought it for 12k.After a 2 months of usage my opinion about TV are:1. The picture quality is good but not as good as you find in relatively costlier tv of same brand or other brands like Sony or Samsung. You'll never notice this until you place other costly display side by side. I found out this when I screencasted my Manali trip videos from my OnePlus 7t to redmi 32 colours are more vibrant and appealing in my smartphone rather than in this smart tv.2. Sound quality of TV is great to watch webseries and tv serials but for good movie experience or to watch great foreign web series with Dolby, you should get a good sound system. Don't get wrong notion about TV this is the scenario of every smart tv in the market.3. User experience of smart TV is usually good. It has very minor lags or stuttering now and then. Don't install many apps as it has only 4.7 gb of internal storage(you'll get Netflix, prime, YouTube, YouTube music and hot star pre-installed). Try to keep 3gb of internal storage to avoid lags.4. Remote is compact and light. It has dedicated prime, Netflix, hot star, patwall and apps(opens all installed apps) button. It picks up the voice commands clearly. It is advisable to go with voice commands instead of typing in all the applications.Summing up the above words don't expect it to be par with 20-30K or above smart tvs. it is a basic smart TV with good features and good picture quality for the price.",32 people found this helpful
Madhusudan Das,4,Good,29 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Good,
Ashok kumar,4,Speaker Sound not meeting my expectations,1 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,Speaker Sound not meeting my expectations,2 people found this helpful
Probin Sinha,5,Awesome service by Amazon and MI india,7 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Just got my redmi 32 inch android TV decent picture and sound quality.But i thing I loved about the purchase was the delivery and installation part. Awesome service by MI India.I live in such a rural part yet the installation guy from MI came and did the installation so gracefully without any extra charge.But yeah you have to purchase the wall mount if you need it and it's a good wall mount that they bring along.,
Nandu Zalte,4,Very nice look in picture,10 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,,One person found this helpful
Bhoopendra Parmar,4,Over all good,2 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Sathya,4,Worthy!!!,24 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,4 people found this helpful
Amazon Customer,5,Excellent TV ordered 2nd time,6 October 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"This is my 2nd Redmi 50"" TV, one I bought 1year ago for my hometown and now I bought it for me. Since the performance and picture quality were good hence I ordered it 2nd time.Now it's lmost a week picture quality and features are excellent in this price range in Amazon sale period.Can't say about its after sale services but for installation it was on time.Good choice can go for it.",
Fizz,5,You will get a big curve in your face by using this smart tv,2 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
baskar,5,Very good for this cost,12 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Delivery is ontime and they checked infront of me,Installation: 1st MI service person said no movable stand with me .So I have ordered it. That next day they called me and told we have stand can we install.And am Unable to cancel order. So i wait for 2 days and then after stand comes they came and installed it next days.(take  3days to install),Quality: For this price Picture quality is very good.Only refresh rate is less.",
Amazon Customer,4,TV remote not given as described in description,26 September 2022,Pattern name: 4K Android SeriesSize name: 50 inches,The remote given with the tv is not what shown in product description. The remote don't have disny plus hotstar key and Apps key ... Kindly do the needful,10 people found this helpful
Amol Muley,4,Cool and Smart,25 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,The Tv is good looking and really packed with smart features. Loved it. Go for it if you need a budget friendly and latest Tv.,
K G SASIDHARAN ,4,Good product for this price,24 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"Light weight, adequate picture quality, clear sound and smart features.I like the product.",5 people found this helpful
Jeevan Mane,4,Nice TV and pictures quantity is very nice,12 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
mohanachandran,4,Worth of money,12 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
Mahaveer Singh,4,Good buy in is this budet,20 September 2022,Pattern name: 4K Android SeriesSize name: 50 inches,Good buy in this budget,3 people found this helpful
Prakash Mlai,4,Not bet,12 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
S. Joshi,4,This is actually good product under this category,30 August 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"I would like to say this is smart select for smart people, under this brand and price such feature are good, but yes for the first time purchase this is really awsome , I liked the most the voice (no need to any addional speaker for 10/12 ft room size) , main thing is u need to have proper HD cable to enjoy the HD feature",13 people found this helpful
Sathi Gowda,4,Please give the working condition product and open delivery,4 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,3 people found this helpful
Ashish saha,4,Good,12 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
DEEPANSHU,5,Amazing product & Installation Service,29 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,"This product is so amazing that it hasn't come out of the box only, thanks to amazing installation service and after sale services. After buying this product sequence of event is going to like this - You will buy the smart TV, schedule the installation, you will get a call from the installation but they won't show up that day. Then you will contact amazon customer care service coz there is no other option. They'll provide you a number and a OTP for the service guy. You'll call that guy, he will deny the service and say he doesn't have your installation on his service list. Then you connect with amazon customer care again, they'll tell you they have noted your problem and spoken to the team and escalated the issue. But you have to reschedule the installation again. Now, reschedule. Again you get a call in the morning and no one shows up. Customer care says they have escalated the issue with installation team. And, reschedule. This cycle keeps going on.Moral of the Story :- They want you to install your TV yourself, This helps amazon and brand of the TV. As soon as you open the box yourself, warranty is void. If the product is faulty they can blame you for opening the box yourself and not waiting for the so called expert.THIS WHOLE PROCESS OF DELAYING THE INSTALLATION IS TO MAKE YOU FRUSTRATED AND MINIMISING THEIR LIABILITY.",12 people found this helpful
P Deepak,4,Green light flickering after 1 week,18 July 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Green light flickering and some random patterns noticedI got the x50 model and noticed sometimes there is a green flickering when playing netflix or 4k HD content and few light waves appearing sometimes on top when playing YT video or trailers,It been two months only as TV picture look vibrant , i didnt claim for panel replacement for now and hoping it is only a software glitch.2. Audio is good after some update but remote button need to press for everytime to increaseyou need to double press volume down button to MUTE it in case many are not aware.3. Bluetooth is choosy and do not connect automatically to JBL speakers however worked fine for my headphones. I installed beach buggy game with joystick and it works smoothly.  I also installed some retro console games and used redgear gamepad which worked quite well for contra etc.4. Finally it is good if you get a good piece , however buying without extended warranty is not suggested as many seem to have conked off after an year of usage.Kindly ping me  - dpak4u at yah oo if you have experienced similar issue",24 people found this helpful
Deep awasthi,4,Quality product,2 October 2022,Pattern name: 2K Android SeriesSize name: 43 inches,,
Dipen Giri,4,Good tv,12 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,One person found this helpful
Shridhar,4,Nice product. I think worthy,29 September 2022,Pattern name: 4K Android SeriesSize name: 43 inches,,
deepshikha rawat,4,Value for money,30 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Afridi Mohammed,5,"Product is good but not a deal price from the offline,warranty is been reduced in online.",8 October 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Bright images are good but felt the image in dark is unclear,mirror casting volume is reduced even though there is maximum volume in Mobile but its been reduced overall its really good product if we buy it offline the same TV comes with 3 years warranty.but in this we are getting only one year",
PRATEEK LALA,4,work as price.. satisfying product in affordable price,1 October 2022,Pattern name: 2K Android SeriesSize name: 32 inches,,
Saravanan,4,Best quality videos audio,26 August 2022,Pattern name: 4K Android SeriesSize name: 55 inches,First i hesitate purchase for redmi x55 due to Chinese company .one or two years no problem but after that software complaint will raise. But now I purchased reviews basis waiting waiting  upto 2years,2 people found this helpful
Amazon Customer,4,quality,21 September 2022,Pattern name: 4K Android SeriesSize name: 43 inches,"Installation was a very bad experience, still not fitted on wall.installation guy was not good at all.i want to escalate this.",12 people found this helpful
Sajith,4,"Last one year iam using super experience, sound quality its amazing",21 September 2022,Pattern name: 4K Android SeriesSize name: 55 inches,Such a nice tv with budget price,8 people found this helpful
Dobor Talang,4,Good quality,11 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,Very good quality,4 people found this helpful
goutam sanyal,4,MEETS EXPECTATIONS,5 September 2022,Pattern name: 4K Android SeriesSize name: 55 inches,"I AM USING THE TV SINCE ONE AND HALF MONTH. I HAVE NOT FACED ANY PROBLEM SO FAR. PICTURE AND SOUND QUALITY IS  GOOD. THE TV . IS  RQUIRED TO BE  COVERED UNDER EXTENDED WARRANTY ,TO BE TAKEN WITHIN 6 TO 8 MONTHS FROM THE DAYE OF PURCHASE WHICH I WILL OPT SHORTLY.",9 people found this helpful
S.krishnamurthy,4,Request replacement. Quality issue.horizontal line mark,2 August 2022,Pattern name: 4K Android SeriesSize name: 55 inches,,17 people found this helpful
Pavan Kumar Yabaluri,4,Very good,11 September 2022,Pattern name: 4K Android SeriesSize name: 50 inches,"Good TV, picture and sound quality",3 people found this helpful
Santhosh Santhosh,4,Redmi TV,18 September 2022,Pattern name: 2K Android SeriesSize name: 32 inches,I didn't see this like tv it was a nice tv many features are there,10 people found this helpful
